01 фев 2020 19:58:35,856  INFO LRULogger - COLLECTED, USED : 8851048, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
01 фев 2020 19:58:40,682  INFO LRULogger - COLLECTED, USED : 51916640, LASTCOLLECTED : 8851048, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
01 фев 2020 20:08:17,440  INFO LRULogger - COLLECTED, USED : 8853432, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
01 фев 2020 20:08:44,815  INFO LRULogger - COLLECTED, USED : 8850368, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
01 фев 2020 20:08:48,295  INFO LRULogger - COLLECTED, USED : 46532656, LASTCOLLECTED : 8850368, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
01 фев 2020 20:29:03,611  INFO LRULogger - COLLECTED, USED : 8851960, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
01 фев 2020 20:29:07,013  INFO LRULogger - COLLECTED, USED : 45545896, LASTCOLLECTED : 8851960, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
01 фев 2020 22:13:22,213  INFO LRULogger - COLLECTED, USED : 8852424, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
01 фев 2020 22:13:30,502  INFO LRULogger - COLLECTED, USED : 51967128, LASTCOLLECTED : 8852424, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
01 фев 2020 22:18:00,467  INFO LRULogger - COLLECTED, USED : 8851840, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
01 фев 2020 22:18:07,131  INFO LRULogger - COLLECTED, USED : 45711440, LASTCOLLECTED : 8851840, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
01 фев 2020 22:48:54,718  INFO LRULogger - COLLECTED, USED : 8851904, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
01 фев 2020 23:01:57,105  INFO LRULogger - COLLECTED, USED : 8865120, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
01 фев 2020 23:02:05,790  INFO LRULogger - COLLECTED, USED : 51892304, LASTCOLLECTED : 8865120, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
01 фев 2020 23:10:17,247  INFO LRULogger - COLLECTED, USED : 8850728, LASTCOLLECTED : 0, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
01 фев 2020 23:10:28,279  INFO LRULogger - COLLECTED, USED : 52080592, LASTCOLLECTED : 8850728, UPAVERAGE : 6.45922816E8, DOWNAVERAGE : 5.28482304E8
